id,Endereco,Vagas
1,Av. Osvaldo Aranha  n° 374,13
4,Av. Osvaldo Aranha  n° 806,17
7,Av. Osvaldo Aranha  n° 1092,17
8,Av. Osvaldo Aranha  n° 1200,5
10,Rua José Bonifácio  DF ao n° 519,29
12,Rua José Bonifácio  n° 675,23
15,Av. Venâncio Aires  n° 928,13
16,Av. Venâncio Aires x Rua Santa Terezinha,13
19,Rua Ramiro Barcelos  n° 2231,17
20,Rua Ramiro Barcelos  n° 2147,23
21,Rua Ramiro Barcelos  n° 1925,17
22,Rua Francisco Ferrer  n° 461,35
23,Rua César Lombroso x Rua Ramiro Barcelos,25
27,Rua Felipe Camarão  n° 480,11
28,Rua Fernandes Vieira  n° 350,17
29,Rua Fernandes Vieira  n° 474,31
32,Rua Ribeiro Cancela  DF ao nº 20,15
35,Rua Grão Pará  n° 233,25
36,Rua Antenor Lemos  n° 56,27
37,Rua Antenor Lemos  n° 127,23
39,Rua José de Alencar  n° 237,7
42,Av. Praia de Belas  n° 2300,11
43,Av. Padre Cacique  50,9
44,Rua Visconde do Herval  DF ao n° 1373,19
48,Rua Barão do Triunfo x Rua 20 de Setembro,39
49,Rua Prof. Freitas e Castro  DF ao n° 551,19
51,Rua Dr. Vale  n° 41,25
52,Rua Hoffmann  n° 609,27
54,Av. Cristóvão Colombo  n° 1360,9
56,Av. Cristóvão Colombo  DF ao n° 1413,13
58,Av. Cristóvão Colombo  n° 2211,11
60,Rua Cel. Bordini  DF ao n° 85,23
61,Rua Cel. Bordini  n° 104,19
62,Rua Cel. Bordini  n° 155,25
66,Rua Almirante Delamare  n° 247,25
69,Av. Wenceslau Escobar  n° 3086,11
71,Rua Dr. Mário Totta  n° 506,29
72,Rua Caju  n° 68,21
73,Av. Protásio Alves  n° 2760,29
76,Al. Major Francisco Barcelos  n° 76,27
77,Al. Coelho Neto  n° 65,27
